"brand","shop","@lat","@lon"
"Дикси","supermarket","55.7298124","37.7609692"
"Пятёрочка","supermarket","55.7209808","37.7858921"
"Перекресток","supermarket","55.6286107","37.7396306"
"Магнит","supermarket","55.6222594","37.7398944"
"Перекресток","supermarket","55.6195550","37.7522272"
"Магнит","supermarket","55.6876881","37.8905249"
"Перекрёсток","supermarket","55.8224408","37.8233173"
"Пятёрочка","supermarket","55.6144007","37.7418409"
"Авоська","supermarket","55.8175417","37.8072088"
"Перекрёсток","supermarket","55.8873447","37.6561872"
"Ортека","medical_supply","55.8703979","37.6620560"
"МТС","mobile_phone","55.8704067","37.6622526"
"Магнит","supermarket","55.8878535","37.6727475"
"Перекресток","supermarket","55.7827346","37.7264583"
"Billa","supermarket","55.8662626","37.6756950"
"Пятёрочка","supermarket","55.8899730","37.6178124"
"Пятёрочка","supermarket","55.7014232","37.7910744"
"Очкарик","optician","55.8920029","37.6185611"
"Пятёрочка","supermarket","55.8879941","37.6155998"
"Дикси","supermarket","55.8722055","37.6767263"
"Пятёрочка","supermarket","55.8482742","37.4542885"
"Пятёрочка","supermarket","55.8515083","37.6464827"
"Дикси","supermarket","55.8516212","37.6421083"
"Магнолия","supermarket","55.8523298","37.6376148"
"Пятёрочка","supermarket","55.8326454","37.3047745"
"Спортмастер","sports","55.6450161","37.7439177"
"Перекресток","supermarket","55.6542280","37.7585000"
"М.Видео","electronics","55.7376908","37.8571399"
"Пятёрочка","supermarket","55.6478526","37.7356010"
"Дикси","supermarket","55.8367451","37.2949698"
"Лига ставок","bookmaker","55.8343899","37.2982822"
"Пятёрочка","convenience","55.7002305","37.5061231"
"Азбука Вкуса","supermarket","55.7010877","37.5035386"
"Перекресток","supermarket","55.8057063","37.3968646"
"Ароматный мир","alcohol","55.8035681","37.4066437"
"Ароматный мир","alcohol","55.7754613","37.6841494"
"Пятёрочка","convenience","55.6059280","37.5433395"
"Пятёрочка","supermarket","55.6460934","37.7378457"
"Перекресток","supermarket","55.8239453","37.4979990"
"Ароматный мир","alcohol","55.8174015","37.4999953"
"Пятёрочка","supermarket","55.7284733","37.4233988"
"АТАК","supermarket","55.8985832","37.6294080"
"Media Markt","electronics","55.8811191","37.4491945"
"Спортмастер","sports","55.8890812","37.4328979"
"Читай-город","books","55.8886400","37.4340776"
"М.Видео","electronics","55.8890375","37.4335884"
"Магнит","supermarket","55.7901655","37.6650084"
"Азбука Вкуса","supermarket","55.7819219","37.5344574"
"Магнит","convenience","55.7896000","37.6658075"
"Магнит","supermarket","55.7545493","37.8154369"
"Пятёрочка","supermarket","55.9014349","37.4067552"
"Магнолия","supermarket","55.6847213","37.5432000"
"Перекресток","supermarket","55.6823560","37.5510160"
"Дикси","supermarket","55.7846515","37.6604098"
"Пятёрочка","supermarket","55.7946722","37.7288203"
"Смешные цены","clothes","55.8622007","37.4339578"
"ВкусВилл","convenience","55.7215512","37.6271609"
"Ароматный мир","alcohol","55.7211908","37.6233484"
"Дикси","supermarket","55.8393353","37.5274595"
"Пятёрочка","supermarket","55.6344839","37.6139072"
"Hyundai","car","55.6130601","37.5149164"
"Ашан","supermarket","55.6532579","37.8439855"
"Азбука Вкуса","supermarket","55.8450865","37.4553386"
"Перекресток","supermarket","55.8477713","37.4544998"
"Пятёрочка","convenience","55.8158917","37.3939797"
